table,file,rows,columns,bytes,tick_column,bad_ticks
Annotations,Annotations.csv,0,28,237,DateTimeUTCTicks,0
CMB,CMB.csv,0,1602,60032,UTCTimestamp_Ticks,0
His_131,His_131.csv,521103,20,111499597,UTCTimestamp_Ticks,0
His_431,His_431.csv,524153,20,76184492,UTCTimestamp_Ticks,0
His_431A,His_431A.csv,250035,11,30586936,UTCTimestamp_Ticks,0
His_432,His_432.csv,256833,11,31201721,UTCTimestamp_Ticks,0
His_433,His_433.csv,247714,11,30417016,UTCTimestamp_Ticks,0
His_434,His_434.csv,251480,11,30582391,UTCTimestamp_Ticks,0
His_435,His_435.csv,250906,11,30716925,UTCTimestamp_Ticks,0
His_436,His_436.csv,256360,11,31328764,UTCTimestamp_Ticks,0
His_437,His_437.csv,252343,11,30572695,UTCTimestamp_Ticks,0
His_471,His_471.csv,519225,17,55901459,UTCTimestamp_Ticks,0
His_473,His_473.csv,519201,17,55424047,UTCTimestamp_Ticks,0
His_475,His_475.csv,519127,17,55730704,UTCTimestamp_Ticks,0
His_477,His_477.csv,519159,17,55735172,UTCTimestamp_Ticks,0
His_T1,His_T1.csv,523932,11,48925167,UTCTimestamp_Ticks,0
His_TUC41,His_TUC41.csv,521569,10,54813217,UTCTimestamp_Ticks,0
His_report,His_report.csv,107307,71,42417322,UTCTimestamp_Ticks,0
Weather,Weather.csv,524088,34,77787681,UTCTimestamp_Ticks,0
