chup_luc_utc,mo_hinh,nha_may,tam_gio,ts_local,ts_utc,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,relative_humidity_2m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,do_cao_mo_hinh_m
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,-4.594166666666666,2026-08-07 07:00:00,2026-08-07 00:00:00+00:00,68.0,6.5,61.5,27.7,27.2,76,100,0,67,100,16.9,232,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,-3.5941666666666667,2026-08-07 08:00:00,2026-08-07 01:00:00+00:00,187.0,38.9,148.1,83.7,28.0,73,100,0,61,100,18.2,236,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,-2.5941666666666667,2026-08-07 09:00:00,2026-08-07 02:00:00+00:00,322.0,82.8,239.2,123.8,29.2,68,100,0,53,100,19.8,241,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,-1.5941666666666667,2026-08-07 10:00:00,2026-08-07 03:00:00+00:00,416.0,94.4,321.6,113.6,30.3,64,100,0,48,100,21.3,244,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,-0.5941666666666666,2026-08-07 11:00:00,2026-08-07 04:00:00+00:00,458.0,82.2,375.8,87.3,31.2,60,100,0,52,85,22.2,243,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,0.4058333333333333,2026-08-07 12:00:00,2026-08-07 05:00:00+00:00,455.0,86.7,368.3,87.2,32.1,55,100,0,61,65,22.9,242,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,1.4058333333333333,2026-08-07 13:00:00,2026-08-07 06:00:00+00:00,394.0,51.1,342.9,52.0,32.5,53,100,0,65,53,22.9,240,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,2.4058333333333333,2026-08-07 14:00:00,2026-08-07 07:00:00+00:00,300.0,18.8,281.2,20.7,32.4,53,100,0,60,58,22.5,238,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,3.4058333333333333,2026-08-07 15:00:00,2026-08-07 08:00:00+00:00,234.0,16.8,217.2,21.7,31.9,56,99,0,51,73,21.6,237,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,4.405833333333334,2026-08-07 16:00:00,2026-08-07 09:00:00+00:00,210.0,31.8,178.2,53.4,31.3,58,99,0,47,85,20.5,236,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,5.405833333333334,2026-08-07 17:00:00,2026-08-07 10:00:00+00:00,169.0,40.9,128.1,107.3,30.7,61,99,0,54,92,19.7,235,68.0
2026-08-07 04:35:39+00:00,ecmwf_ifs025,FUJIWARA_BD,6.405833333333334,2026-08-07 18:00:00,2026-08-07 11:00:00+00:00,74.0,17.0,57.0,108.0,29.9,63,100,0,66,97,18.4,235,68.0
