chup_luc_utc,so_mo_hinh_ok,so_mo_hinh_loi,chi_tiet_loi
2026-08-07 04:35:39+00:00,4,0,
2026-08-07 04:53:02+00:00,4,0,
2026-08-07 08:56:05+00:00,4,0,
2026-08-07 12:52:20+00:00,4,0,
2026-08-07 14:59:22+00:00,4,0,
2026-08-07 17:59:16+00:00,4,0,
2026-08-07 20:59:16+00:00,4,0,
2026-08-07 23:59:16+00:00,4,0,
2026-08-08 02:59:26+00:00,4,0,
2026-08-08 05:59:27+00:00,4,0,
2026-08-08 08:59:20+00:00,4,0,
2026-08-08 17:59:24+00:00,4,0,
2026-08-08 20:59:21+00:00,4,0,
2026-08-08 23:59:17+00:00,4,0,
2026-08-09 02:59:24+00:00,4,0,
2026-08-09 05:59:24+00:00,4,0,
2026-08-09 08:59:22+00:00,4,0,
2026-08-10 02:59:24+00:00,4,0,
2026-08-10 05:59:23+00:00,4,0,
2026-08-10 08:59:21+00:00,4,0,
2026-08-10 14:59:24+00:00,4,0,
2026-08-10 17:59:23+00:00,4,0,
2026-08-10 20:59:16+00:00,4,0,
2026-08-10 23:59:16+00:00,4,0,
2026-08-11 02:59:25+00:00,4,0,
2026-08-11 05:59:21+00:00,4,0,
2026-08-11 08:59:24+00:00,4,0,
2026-08-11 11:59:26+00:00,4,0,
2026-08-11 14:59:24+00:00,4,0,
2026-08-11 17:59:24+00:00,4,0,
2026-08-11 20:59:20+00:00,4,0,
2026-08-12 02:59:16+00:00,4,0,
