table,column,role,pg_type,n,pct_null,pct_zero,is_constant,min,p1,p50,p99,max,mean,std,n_unique_approx,n_null,pct_negative,p25,p75
His_131,ID,meta,bigint,521103,0.0,0.0,False,0.0,4682.89,297274.5,517008.57,521102.0,260551.0,150429.478662,> 5000,0.0,0.0,146499.25,411142.75
His_131,UTCTimestamp_Ticks,time,bigint,521103,,,,,,,,,,,,,,,
His_131,LogType,meta,smallint,521103,0.0,0.009,False,0.0,1.0,1.0,1.0,2.0,0.999994,0.013069,3,0.0,0.0,1.0,1.0
His_131,NotSync,meta,smallint,521103,0.0,100.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
His_131,Substation_Level_110kV_Bay131_MEAS_PF,power_factor,real,521103,0.025,56.539,False,-1.0,-0.999993,0.0,0.0,0.330904,-0.428007,0.492325,> 5000,130.0,43.297,-0.998919,0.0
His_131,Substation_Level_110kV_Bay131_MEAS_Q,reactive_power,real,521103,0.025,0.001,False,-11.492443,-1.876199,0.015208,2.087492,14.503883,0.033646,0.542451,> 5000,128.0,44.894,-0.079018,0.137844
His_131,Substation_Level_110kV_Bay131_MEAS_P,active_power,real,521103,0.027,0.002,False,-0.449991,-0.109811,0.228482,36.98731,39.265335,7.473381,11.439148,> 5000,141.0,17.988,0.040538,13.385816
His_131,Substation_Level_110kV_Bay131_MEAS_In,current,real,521103,0.031,0.001,False,-0.283208,0.097052,0.423847,0.964172,6.775785,0.445196,0.225246,79,163.0,0.097,0.305719,0.541418
His_131,Substation_Level_110kV_Bay131_MEAS_Ic,current,real,521103,0.033,0.002,False,0.0,0.153662,1.389319,184.428548,196.93501,37.790735,56.832149,> 5000,173.0,0.0,1.010931,66.714237
His_131,Substation_Level_110kV_Bay131_MEAS_Ib,current,real,521103,0.033,0.003,False,0.0,0.135873,1.270194,184.591869,197.86516,37.840514,56.936861,> 5000,171.0,0.0,0.858686,67.276218
His_131,Substation_Level_110kV_Bay131_MEAS_Ia,current,real,521103,0.032,0.002,False,0.0,0.151451,1.719671,184.558051,197.1678,37.925149,56.803956,> 5000,168.0,0.0,1.262971,66.747755
His_131,Substation_Level_110kV_Bay131_MEAS_Uc,voltage,real,521103,0.034,0.002,False,0.0,65.556747,66.74585,67.631995,68.78609,66.742626,0.53289,> 5000,177.0,0.0,66.41359,67.07325
His_131,Substation_Level_110kV_Bay131_MEAS_Ub,voltage,real,521103,0.034,0.002,False,0.0,65.717538,66.950162,67.89795,69.21082,66.934204,0.554972,> 5000,176.0,0.0,66.592104,67.292751
His_131,Substation_Level_110kV_Bay131_MEAS_Ua,voltage,real,521103,0.034,0.002,False,0.0,65.545853,66.85058,67.874085,69.03407,66.82951,0.573878,> 5000,175.0,0.0,66.476833,67.191491
His_131,Substation_Level_110kV_Bay131_MEAS_F,frequency,real,521103,0.035,0.0,False,49.344955,49.851465,50.114998,50.285759,50.52338,50.101471,0.100607,> 5000,182.0,0.0,50.036555,50.171112
His_131,Substation_Level_110kV_Bay131_MEAS_Uca,voltage,real,521103,0.034,0.002,False,0.0,113.477116,115.630192,117.188155,119.10059,115.603396,0.939015,> 5000,177.0,0.0,115.035821,116.177093
His_131,Substation_Level_110kV_Bay131_MEAS_Ubc,voltage,real,521103,0.034,0.002,False,0.0,113.734908,115.782375,117.352111,119.51982,115.773345,0.938216,> 5000,177.0,0.0,115.19163,116.377408
His_131,Substation_Level_110kV_Bay131_MEAS_Uab,voltage,real,521103,0.034,0.002,False,0.0,113.708407,115.947555,117.738365,120.19475,115.907268,0.995638,> 5000,177.0,0.0,115.297206,116.543834
His_131,ts_utc,time,,521103,,,,,,,,,,,,,,,
His_131,ts_local,time,,521103,,,,,,,,,,,,,,,
His_431,ID,meta,bigint,524153,0.0,0.0,False,0.0,4662.73,296258.0,518882.31,524152.0,262076.0,151309.937823,> 5000,0.0,0.0,146168.5,411533.0
His_431,UTCTimestamp_Ticks,time,bigint,524153,,,,,,,,,,,,,,,
His_431,LogType,meta,smallint,524153,0.0,0.009,False,0.0,1.0,1.0,1.0,2.0,0.999996,0.013104,3,0.0,0.0,1.0,1.0
His_431,NotSync,meta,smallint,524153,0.0,100.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
His_431,Substation_Level_22kV_Bay431_MEAS_PF,power_factor,real,524153,0.035,0.007,False,-0.99,0.9399,1.0,1.0,1.0,0.985581,0.159784,181,184.0,0.665,1.0,1.0
