table,rows,columns,n_valid_ts,n_duplicate_ts,is_sorted_in_file,ts_min_utc,ts_max_utc,span_days,median_interval_s,top_intervals_s,nominal_interval_s,pct_at_nominal,coverage_pct,n_gaps_gt_3x,total_gap_hours,max_gap_hours
His_131,521103,20,521103,0,False,2025-07-12 16:37:05.237000,2026-07-17 02:27:08.892000,369.41,60.007,"60s x518,303 (99.5%); 61s x1,810 (0.3%); 0s x205 (0.0%); 62s x128 (0.0%); 59s x61 (0.0%); 120s x44 (0.0%)",60,99.46,97.96,70,182.19,70.41
His_431,524153,20,524153,0,False,2025-07-12 04:54:58.786000,2026-07-17 02:27:08.934000,369.9,60.01,"60s x520,273 (99.3%); 61s x1,949 (0.4%); 59s x547 (0.1%); 62s x281 (0.1%); 0s x169 (0.0%); 1s x127 (0.0%)",60,99.26,98.4,68,145.24,70.41
His_431A,250035,11,250035,0,False,2025-07-05 09:49:41.372000,2026-07-17 02:27:08.971000,376.69,60.011,"60s x243,988 (97.6%); 61s x1,696 (0.7%); 59s x620 (0.2%); 62s x390 (0.2%); 58s x202 (0.1%); 63s x180 (0.1%)",60,97.58,46.09,507,4881.59,261.96
His_432,256833,11,256833,0,False,2025-07-14 22:30:46.344000,2026-07-17 02:27:08.986000,367.16,60.01,"60s x250,822 (97.7%); 61s x1,553 (0.6%); 59s x609 (0.2%); 62s x395 (0.2%); 58s x211 (0.1%); 63s x205 (0.1%)",60,97.66,48.58,477,4539.62,261.96
His_433,247714,11,247714,0,False,2025-07-09 23:38:34.717000,2026-07-17 02:27:09.007000,372.12,60.011,"60s x241,584 (97.5%); 61s x1,798 (0.7%); 59s x679 (0.3%); 62s x412 (0.2%); 58s x224 (0.1%); 63s x194 (0.1%)",60,97.53,46.23,508,4809.82,261.96
His_434,251480,11,251480,0,False,2025-07-09 05:48:46.881000,2026-07-17 02:27:09.035000,372.86,60.012,"60s x244,691 (97.3%); 61s x1,736 (0.7%); 59s x734 (0.3%); 62s x448 (0.2%); 63s x229 (0.1%); 58s x226 (0.1%)",60,97.3,46.84,533,4764.97,261.96
His_435,250906,11,250906,0,False,2025-07-10 22:28:48.112000,2026-07-17 02:27:09.050000,371.17,60.012,"60s x242,804 (96.8%); 61s x1,670 (0.7%); 59s x744 (0.3%); 62s x471 (0.2%); 58s x277 (0.1%); 63s x260 (0.1%)",60,96.77,46.94,884,4733.36,261.96
His_436,256360,11,256360,0,False,2025-07-06 00:59:08.803000,2026-07-17 02:27:09.097000,376.06,60.013,"60s x248,969 (97.1%); 61s x1,941 (0.8%); 59s x777 (0.3%); 62s x462 (0.2%); 58s x271 (0.1%); 63s x256 (0.1%)",60,97.12,47.34,555,4757.48,261.96
His_437,252343,11,252343,0,False,2025-07-16 06:58:05.162000,2026-07-17 02:27:09.111000,365.81,60.012,"60s x245,520 (97.3%); 61s x1,534 (0.6%); 59s x681 (0.3%); 62s x426 (0.2%); 58s x291 (0.1%); 63s x246 (0.1%)",60,97.3,47.9,518,4578.23,261.96
His_471,519225,17,519225,0,False,2025-07-05 17:35:04.417000,2026-07-17 02:27:09.132000,376.37,60.011,"60s x507,583 (97.8%); 61s x2,888 (0.6%); 59s x1,083 (0.2%); 62s x603 (0.1%); 92s x423 (0.1%); 63s x362 (0.1%)",60,97.76,95.8,140,350.68,261.96
His_473,519201,17,519201,0,False,2025-07-05 18:53:05.071000,2026-07-17 02:27:09.169000,376.32,60.012,"60s x507,004 (97.7%); 61s x3,182 (0.6%); 59s x1,174 (0.2%); 62s x601 (0.1%); 92s x431 (0.1%); 63s x374 (0.1%)",60,97.65,95.81,151,349.61,261.96
His_475,519127,17,519127,0,False,2025-07-05 18:45:05.038000,2026-07-17 02:27:09.191000,376.32,60.012,"60s x506,283 (97.5%); 61s x3,538 (0.7%); 59s x1,277 (0.2%); 62s x648 (0.1%); 92s x454 (0.1%); 58s x386 (0.1%)",60,97.53,95.8,159,350.17,261.96
His_477,519159,17,519159,0,False,2025-07-05 19:56:05.719000,2026-07-17 02:27:09.242000,376.27,60.012,"60s x506,064 (97.5%); 61s x3,798 (0.7%); 59s x1,462 (0.3%); 62s x698 (0.1%); 92s x404 (0.1%); 58s x388 (0.1%)",60,97.48,95.82,160,350.4,261.94
His_T1,523932,11,523932,0,False,2025-07-10 06:47:37.771000,2026-07-15 18:02:56.896000,370.47,60.011,"60s x511,658 (97.7%); 61s x4,007 (0.8%); 59s x1,625 (0.3%); 62s x771 (0.1%); 58s x404 (0.1%); 63s x315 (0.1%)",60,97.66,98.21,146,154.21,71.37
His_TUC41,521569,10,521569,3,False,2025-07-06 07:03:59.620000,2026-07-15 20:49:57.783000,374.57,60.012,"60s x505,355 (96.9%); 61s x4,332 (0.8%); 59s x1,660 (0.3%); 62s x757 (0.1%); 58s x419 (0.1%); 63s x325 (0.1%)",60,96.89,96.7,89,277.1,70.38
His_report,107307,71,107307,0,False,2025-07-13 20:52:45.961000,2026-07-17 02:25:49.924000,368.23,300.012,"300s x103,819 (96.8%); 0s x2,103 (2.0%); 301s x865 (0.8%); 1s x71 (0.1%); 299s x66 (0.1%); 302s x30 (0.0%)",300,96.75,101.18,10,87.64,70.47
Weather,524088,34,524088,0,False,2025-07-12 14:58:42.835000,2026-07-17 02:27:09.279000,369.48,60.011,"60s x515,537 (98.4%); 61s x3,765 (0.7%); 59s x1,617 (0.3%); 62s x703 (0.1%); 58s x331 (0.1%); 63s x247 (0.0%)",60,98.37,98.5,79,133.23,70.41
