ts_local,so_o_ban_ngay,G,Tp,Ta,RH,WS
2025-07,834,100.0,97.0,100.0,100.0,100.0
2025-08,1342,100.0,94.0,100.0,100.0,100.0
2025-09,1264,100.0,99.0,100.0,100.0,100.0
2025-10,1199,100.0,100.0,100.0,100.0,100.0
2025-11,911,100.0,100.0,100.0,100.0,100.0
2025-12,985,100.0,100.0,100.0,100.0,100.0
2026-01,901,100.0,100.0,100.0,100.0,100.0
2026-02,885,100.0,100.0,100.0,100.0,100.0
2026-03,1286,100.0,99.8,99.1,99.1,100.0
2026-04,1309,100.0,99.7,51.0,51.0,100.0
2026-05,1372,100.0,94.5,0.0,0.0,100.0
2026-06,1352,100.0,95.7,0.0,0.0,100.0
2026-07,713,100.0,100.0,0.0,0.0,100.0
